Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
31013,Box Butte County,11,-103.07,42.21,2791.48,0.0,0.0,,,,,,,55,3,3548,110,30,4889,257,23,12875,80,11,2810,115,23,5789,32,11,671,85,19,2834,,,,43,11,815,,,,563,27,22483,44,4,263,338,30,4956,214,46,4149,,,
31017,Brown County,3,-98.99,31.75,3172.85,0.0,0.0,,,,,,,,,,42,22,1424,101,8,5353,30,4,810,47,10,2027,,,,23,8,705,,,,6,3,201,,,,166,12,7138,0,3,0,106,11,1035,40,17,1007,,,
31001,Adams County,32,-91.21,39.98,1461.32,1.84,0.33,53,4,3002,,,,,,,774,103,41297,791,69,38234,110,11,3378,408,69,21964,110,47,3221,288,63,12345,,,,384,52,10497,801,9,13947,2999,108,142788,175,17,1920,1474,88,21123,436,84,9619,,,
31161,Sheridan County,5,-100.46,39.35,6396.88,0.0,0.0,,,,,,,,,,17,8,849,157,13,4219,,,,98,13,4130,,,,25,9,631,,,,,,,,,,248,17,9047,13,3,64,99,20,1581,70,26,880,,,
31109,Lancaster County,306,-76.24,40.08,2192.16,2.78,3.25,20,13,924,,,,0,4,0,8610,1075,442681,4260,325,226482,4856,142,288960,12779,664,807404,1992,412,81852,8387,894,486581,3413,64,257563,6404,498,202388,2863,115,68238,25133,1050,1166627,2955,141,42686,15457,778,230798,6698,940,203101,2,5,36
31011,Boone County,5,-88.82,42.32,1780.02,0.0,0.0,3,4,200,,,,23,3,2128,49,21,1884,220,19,9602,6,3,234,82,14,4109,0,4,0,28,7,961,,,,4,4,176,0,3,0,313,20,9028,,,,81,11,1022,51,19,1493,,,
31129,Nuckolls County,4,-98.05,40.16,1491.42,0.0,0.0,,,,,,,,,,50,20,1236,127,17,6064,0,3,0,74,14,3660,,,,37,11,1693,,,,27,6,695,,,,390,17,13023,13,3,123,85,11,717,42,24,917,,,
31149,Rock County,1,-96.26,43.67,2620.17,0.0,0.0,,,,,,,,,,8,4,344,75,5,3992,,,,17,3,1060,,,,,,,,,,,,,,,,0,4,0,,,,,,,12,7,232,,,
31063,Frontier County,3,-100.42,40.55,2538.33,0.0,0.0,,,,,,,,,,68,6,3773,67,5,1507,,,,34,6,2499,,,,14,3,576,,,,,,,,,,54,8,789,,,,25,6,299,28,10,513,,,
31163,Sherman County,3,-101.89,36.25,1480.52,0.0,0.0,,,,,,,,,,34,12,1008,56,5,1893,13,4,386,18,4,681,,,,8,5,231,,,,,,,,,,156,6,5387,,,,87,10,1269,27,12,431,,,
31055,Douglas County,550,-88.22,39.76,879.75,2.63,14.9,64,17,3237,27,4,1304,229,11,46025,15334,1596,864518,13315,837,968867,9295,281,710190,34200,1339,2691694,6160,908,296032,18966,1802,1277423,14154,172,1192799,24178,996,813108,8941,207,307472,52277,1951,2875126,6473,279,131265,28709,1420,490140,12798,1493,397079,14,12,147
31147,Richardson County,8,-95.76,40.12,1436.4,0.0,0.0,,,,,,,,,,99,32,2862,139,31,5769,29,6,2043,64,12,2650,10,4,185,64,11,1664,,,,25,7,555,,,,404,23,14346,9,3,176,178,22,1979,108,37,1654,,,
31093,Howard County,6,-101.43,32.3,1490.72,0.0,0.0,25,4,1699,,,,,,,48,25,1821,54,8,2328,,,,102,31,4548,5,3,45,35,9,1405,,,,23,5,414,,,,352,12,13424,,,,62,12,690,61,20,1016,,,
31089,Holt County,10,-95.21,40.1,6261.19,0.0,0.0,,,,,,,30,4,2316,186,35,8586,462,40,17455,61,12,1582,177,29,9890,14,9,420,81,24,4384,,,,41,10,1275,,,,789,36,29126,27,5,323,296,29,3246,180,49,4588,,,
31065,Furnas County,5,-99.9,40.18,1866.8,0.0,0.0,3,3,86,,,,,,,81,12,3236,121,8,7265,59,4,2940,64,17,2694,,,,24,7,809,,,,81,5,3357,,,,345,19,14055,,,,68,13,608,41,18,974,,,
